Library	Implant	Platform	Single/Multiple	Scan Adapter Name	Directory	Scan Adapter STL	Method	ImplantTypeKwd	SubtypeKwd	Adapter Type	Offset	Height	Diameter	HFlat	RFlat	HoleDiameter	C1	C2	AnalogCutOffset	AnalogCutHeight	AnalogCutDiameter	AxisOcclusal	AxisAsymmetric	RegistrationClickCenter	Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9						
ICam4D	DESS Multi Direct 19.006	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_IO_fda	MURPXXXXXX.ad	ICam4D	MURP	DESSDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS Multi Direct 19.006 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_IO_fda	MURPXXXXXX.ad	ICam4D	MURP	DESSDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS Multi Temporary 19.018	RP	Multiple	MURPXXXXXX	DESS_MULTI_TEMPORARY_Multi_Intraoral	MURPXXXXXX.ad	ICam4D	MU		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS Multi Temporary 19.018 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_TEMPORARY_IO_fda	MURPXXXXXX.ad	ICam4D	MURP	DESSDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000
ICam4D	DESS Multi Temporary ASC 19.406 (FDA)	RP	Multiple	MURPXXXXXX	DESS_MULTI_TEMPORARY_Multi_IO_fda	MURPXXXXXX.ad	ICam4D	MURPASC	DESSDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS SRA Direct 19.098 (FDA)	RP	Multiple	MURPXXXXXX	DESS_STR_BL_SRA_DIRECT_IO_fda	MURPXXXXXX.ad	ICam4D	SRADESSDesktop		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	DESS SRA with Ti-Base 19.098 (FDA)	RP	Multiple	MURPXXXXXX	DESS_STR_BL_TITANIUM_INTERFACE_Intraoral_fda	MURPXXXXXX.ad	ICam4D	OnSRA	NonEngaging	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Elos Accurateï¿½ Hexalobular Prosthetic Screw	RP	Multiple	MURPXXXXXX	Elos_Accurate_Custom_Bar_Bridge_MUA	MURPXXXXXX.ad	ICam4D	NobelBiocare-MultiUnitNPRP	IO2C-A	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Glidewell MU HybridBar	RP	Multiple	MURPXXXXXX	Glidewell_MU	MURPXXXXXX.ad	ICam4D	HybridBar		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Glidewell MU TiBar	RP	Multiple	MURPXXXXXX	Glidewell_MU	MURPXXXXXX.ad	ICam4D	TiBar		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	GT-PrimeTi NB Multiunit RP T3	RP	Multiple	MURPXXXXXX	GT_NB_MU_RP_T3	MURPXXXXXX.ad	ICam4D	ROTA00	G12HL	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Hiossen ET MU H4x10d	RP	Multiple	MURPXXXXXX	HIO_ET_MultiSB_Mu-Ti	MURPXXXXXX.ad	ICam4D	H4010degrees		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Hiossen ET MU H4x5d	RP	Multiple	MURPXXXXXX	HIO_ET_MultiSB_Mu-Ti	MURPXXXXXX.ad	ICam4D	H405degrees		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Hiossen ET MU H6x5d	RP	Multiple	MURPXXXXXX	HIO_ET_MultiSB_Mu-Ti	MURPXXXXXX.ad	ICam4D	H605degrees		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Hyperdent Powerball MUA	RP	Multiple	MURPXXXXXX	XCELL LIBRARY FOR PB AND THS 2022-05-04	MURPXXXXXX.ad	ICam4D	HYPERDENTPOWERBALLMUA		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	IBO- 1200 MU- Ti Base 2G RP	RP	Multiple	MURPXXXXXX	IBO_1200_MU_BASES_IO_M	MURPXXXXXX.ad	ICam4D	TIBASE2GRPScanbodyIBO1201702TI	RotIBO1201621	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	IBO-1200 MU- DIO M	RP	Multiple	MURPXXXXXX	IBO_1200_MU_D_IO_M	MURPXXXXXX.ad	ICam4D	RPScanbodyIBO1201702TI	Rot	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Imetric Pros Screw 4.0	RP	Multiple	MURPXXXXXX	Heliocos_Multi-Unit-IME	MURPXXXXXX.ad	ICam4D	Multi-UnitDirect-PowerScrewL40 		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Imetric Pros Screw 4.3	RP	Multiple	MURPXXXXXX	Heliocos_Multi-Unit-IME	MURPXXXXXX.ad	ICam4D	Multi-UnitDirect-PowerScrewL43		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	IPD Lite Nobel	RP	Multiple	MURPXXXXXX	IPD-Lite-NB-MUA-RP	MURPXXXXXX.ad	ICam4D	Non-ENG_IPDIPDAB-SR-01	ImplantLVLZrPMMASeat	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Jonathan Abenaim Powerball	RP	Multiple	MURPXXXXXX	Abenaim New Direct Library MIlling 1-18-2021	MURPXXXXXX.ad	ICam4D	POWERBALL	MultiUNitScanBody	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	MIS MU-RP TiBase CC480	RP	Multiple	MURPXXXXXX	MIS_Multi-Unit	MURPXXXXXX.ad	ICam4D	TiCementingCapMUCC480		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Mist-NMU S-Link Fit 0.027	RP	Multiple	MURPXXXXXX	mist_NMU	MURPXXXXXX.ad	ICam4D	SLink	FIT0027	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Mode Coping	RP	Multiple	MURPXXXXXX	Mode_Implant_multiunit_support	MURPXXXXXX.ad	ICam4D	MultiUnitNReverse	StandartNonEngagedCopingConnection	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Mode Hybrid	RP	Multiple	MURPXXXXXX	Mode_Implant_multiunit_support	MURPXXXXXX.ad	ICam4D	MultiUnitNReverse	MultiUnitNConnection	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Mode MU N Coping	RP	Multiple	MURPXXXXXX	Mode_Implant_multiunit_support	MURPXXXXXX.ad	ICam4D	MultiUnitN	CopingNonEngaged	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Mode MU N Hybrid	RP	Multiple	MURPXXXXXX	Mode_Implant_multiunit_support	MURPXXXXXX.ad	ICam4D	MultiUnitN	HybridNonEngaged	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	MU-RP Dan Rosen	RP	Multiple	MURPXXXXXX	MU-RP	MURPXXXXXX.ad	ICam4D	MU-RP-DR	Multi	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	MU-RP DESS 19.018	RP	Multiple	MURPXXXXXX	MU-RP	MURPXXXXXX.ad	ICam4D	MU-RP-Long	Multi	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	MU-RP Standard Screw	RP	Multiple	MURPXXXXXX	MU-RP	MURPXXXXXX.ad	ICam4D	MU-RP	Multi	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	MU-RP Straumann 3.5	RP	Multiple	MURPXXXXXX	Elos_Accurate_Custom_Bar_Bridge_SSA	MURPXXXXXX.ad	ICam4D	Straumann-Screw-Retained35	IO4D-A	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	MU-RP Straumann 4.6	RP	Multiple	MURPXXXXXX	Elos_Accurate_Custom_Bar_Bridge_SSA	MURPXXXXXX.ad	ICam4D	Straumann-Screw-Retained46	IO4D-B	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Naxis	RP	Multiple	MURPXXXXXX	NAXIS DIXITAL	MURPXXXXXX.ad	ICam4D	MultiUnit	DirectHEX	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Neodent 3.5 GMT Local Milling	RP	Multiple	MURPXXXXXX	Neodent_GM_local-milling	MURPXXXXXX.ad	ICam4D	GMTitaniumBase35Lab		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Neodent 4.5 GMT Local Milling	RP	Multiple	MURPXXXXXX	Neodent_GM_local-milling	MURPXXXXXX.ad	ICam4D	GMTitaniumBase45Lab		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Neodent CM 3.5x4x0.8	RP	Multiple	MURPXXXXXX	Neodent_CM_local-milling	MURPXXXXXX.ad	ICam4D	CMTitaniumBase35IO	D354x08	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Neodent Direct DESS 19.006	RP	Multiple	MURPXXXXXX	DESS_MULTI_DIRECT_Multi_IO_fda	MURPXXXXXX.ad	ICam4D	MURP	Neoscan	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Neodent Mini GM IO New SRBB One Step Hybrid 118.382	RP	Multiple	MURPXXXXXX	Neodent_Abutment_Level_local-milling	MURPXXXXXX.ad	ICam4D	MiniAbutmentGMIO	NewSRBBOneStepHybrid	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	-1.931523323059080;0.016806364059448;7.34744167327881															
ICam4D	Neodent Mini GM IO SRBB One Step Hybrid 118.379	RP	Multiple	MURPXXXXXX	Neodent_Abutment_Level_local-milling	MURPXXXXXX.ad	ICam4D	MiniAbutmentGMIO	SRBBOneStepHybrid	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	-1.931523323059080;0.016806364059448;7.34744167327881															
ICam4D	Neodent Mini Pillar 118.330	RP	Multiple	MURPXXXXXX	Neodent_Abutment_Level_inhouse	MURPXXXXXX.ad	ICam4D	MiniAbutment41IO	SRBBOneStepHybrid	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Nobel Procera DTXEXO	RP	Multiple	MURPXXXXXX	Nobel_Biocare_Temporary_Implant_Bridge_fda	MURPXXXXXX.ad	ICam4D	TempBridgeExocadDefaultSettings-MUANPRP	NobelDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Nobel Procera DTXEXO	RP	Multiple	MURPXXXXXX	Nobel_Biocare_Temporary_Implant_Bridge_fda	MURPXXXXXX.ad	ICam4D	TempBridgeExocadDefaultSettings-MUANPRP	NobelDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Nobel Procera MUA NP/RP FDA	RP	Multiple	MURPXXXXXX	Nobel_Biocare_NobelProcera_FCZ_Implant_Bridge_fda	MURPXXXXXX.ad	ICam4D	MUANPRP	NobelDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Nobel Procera MUA NP/RP FDA	RP	Multiple	MURPXXXXXX	Nobel_Biocare_NobelProcera_FCZ_Implant_Bridge_fda	MURPXXXXXX.ad	ICam4D	MUANPRP	NobelDesktop	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Non Hyperdent/Printing MUA Powerball	RP	Multiple	MURPXXXXXX	XCELL LIBRARY FOR PB AND THS 2022-05-04	MURPXXXXXX.ad	ICam4D	NONHYPERDENTPRINTINGMUAPOWERBALL		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Noris Medical DirectConnection	RP	Multiple	MURPXXXXXX	NorisMedical_MultiUnit	MURPXXXXXX.ad	ICam4D	ScanBodyH10mmC9210	DirectConnection	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Noris Medical TiBaseC7124	RP	Multiple	MURPXXXXXX	NorisMedical_MultiUnit	MURPXXXXXX.ad	ICam4D	ScanBodyH10mmC9210	TiBaseC7124	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Notch Screw Abutment Coping	RP	Multiple	MURPXXXXXX	Notch_Implant	MURPXXXXXX.ad	ICam4D	NotchScrewAbutment	CopingNonEngaged	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Notch Screw Abutment Hybrid	RP	Multiple	MURPXXXXXX	Notch_Implant	MURPXXXXXX.ad	ICam4D	NotchScrewAbutment	HybridNonEngaged	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000,,,															
ICam4D	Paltop MURP Direct	RP	Multiple	MURPXXXXXX	Paltop_MUA_Z-oriented-Imetric	MURPXXXXXX.ad	ICam4D	PALTOPMUAAbutment	MUDirectRP	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Paltop MURP Ti-Base	RP	Multiple	MURPXXXXXX	Paltop_MUA_Z-oriented-Imetric	MURPXXXXXX.ad	ICam4D	PALTOPMUAAbutment	42-70028TiBaseMURP	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	RADAR Wizard S Print Ready	RP	Multiple	MURPXXXXXX	RADAR	MURPXXXXXX.ad	ICam4D	WIZARD_S_PRINT_READY		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Rosen Direct-MU 1.4 Short	RP	Multiple	MURPXXXXXX	RosenImplant_MU_fda	MURPXXXXXX.ad	ICam4D	ScanBody-7mm	Direct-MU14Short	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Rosen Direct-MU 1.4mm	RP	Multiple	MURPXXXXXX	RosenImplant_MU_fda	MURPXXXXXX.ad	ICam4D	ScanBody-7mm	Direct-MU14mm	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Rosen Direct-MU 1.6mm	RP	Multiple	MURPXXXXXX	RosenImplant_MU_fda	MURPXXXXXX.ad	ICam4D	ScanBody-7mm	Direct-MU16mm	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Rosen Direct-MU 1.72mm	RP	Multiple	MURPXXXXXX	RosenImplant_MU_fda	MURPXXXXXX.ad	ICam4D	ScanBody-7mm	Direct-MU172mm	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Rosen Ti-Base-MU	RP	Multiple	MURPXXXXXX	RosenImplant_MU_fda	MURPXXXXXX.ad	ICam4D	ScanBody-7mm	Ti-Base-MU	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Segscrew V1.1.1	RP	Multiple	MURPXXXXXX	SEGSCREW_V1_1_1	MURPXXXXXX.ad	ICam4D	SegMarker	MUA48Direct20um	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Segscrew V1.1.4	RP	Multiple	MURPXXXXXX	SEGSCREW_V1_1_4	MURPXXXXXX.ad	ICam4D	MUA48Direct		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	SIN PRH30	RP	Multiple	MURPXXXXXX	SIN_PRH30	MURPXXXXXX.ad	ICam4D	PRH30	Multi	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	STR 4.6 TruBase Direct Screw	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_ST46_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruDirectScrew		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	STR 4.6 TruBase Long 60Micron	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_ST46_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseLong	60Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	STR 4.6 TruBase Long 90Micron	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_ST46_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseLong	90Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	STR 4.6 TruBase Short 60Micron	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_ST46_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseShort	60Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	STR 4.6 TruBase Short 90Micron	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_ST46_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseShort	90Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Straumann SRA 3.5- Metal Scanbody 025.0080	RP	Multiple	MURPXXXXXX	Straumann_Variobase-Bar_Bridge_local-milling_fda	MURPXXXXXX.ad	ICam4D	SRAScrewRetainedAbutment35-StraumannMetalScanbody-SB0250080		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Straumann SRA 3.5- Variobase w/ Screw 023.0028	RP	Multiple	MURPXXXXXX	Straumann_Variobase-Bar_Bridge_local-milling_fda	MURPXXXXXX.ad	ICam4D	SRAScrewRetainedAbutment35-StraumannMetalScanbody-SB0250080		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Straumann SRA 4.6- Metal Scanbody 025.0081	RP	Multiple	MURPXXXXXX	Straumann_Variobase-Bar_Bridge_local-milling_fda	MURPXXXXXX.ad	ICam4D	SRAScrewRetainedAbutment46-StraumannMetalScanbody-SB0250081		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Straumann SRA 4.6- Variobase w/ Screw 023.0028	RP	Multiple	MURPXXXXXX	Straumann_Variobase-Bar_Bridge_local-milling_fda	MURPXXXXXX.ad	ICam4D	SRAScrewRetainedAbutment46-StraumannMetalScanbody-SB0250081		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Straumann Variobase SRA46	RP	Multiple	MURPXXXXXX	StraumannGroup_Variobase-Bar_Bridge_inhouse	MURPXXXXXX.ad	ICam4D	SRAScrewRetainedAbutment46		ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	SuperLine ISC_Screw_SRS18T	RP	Multiple	MURPXXXXXX	DENTIUM SuperLine ISC_Screw_032723	MURPXXXXXX.ad	ICam4D	ISC45	SAB45-Non	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	Sweden Martina PADR Cone H8	RP	Multiple	MURPXXXXXX	SWM_PADR_Disparallel_Screw_Retained_Prosthesis	MURPXXXXXX.ad	ICam4D	SleeveStraight-Multiple	PADr-ConeH8PADR-TC-M-8	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	TruBase Short 30	RP	Multiple	MURPXXXXXX	TruAbutment_AOT_New_Scan_Body_conid-imetric-only	MURPXXXXXX.ad	ICam4D	TruBaseShort	30Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	TruBase Short 30 (2024)	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_AOT_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseShort	30Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	TruBase Short 60	RP	Multiple	MURPXXXXXX	TruAbutment_AOT_New_Scan_Body_conid-imetric-only	MURPXXXXXX.ad	ICam4D	TruBaseShort	60Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
ICam4D	TruBase Short 60 (2024)	RP	Multiple	MURPXXXXXX	TruAbutment_ioConnect_AOT_HS_Cap_Small_fda_Imetric_Z	MURPXXXXXX.ad	ICam4D	TruBaseShort	60Micron	ICam4D												0.000000;0.000000;1.000000	0.000000;-1.000000;0.000000	0.000000;0.000000;5.000000															
